black,with,2
cocoa,colony,2
saturday,brunch,2
&,co,2
$20,credits,2
gel,mani,2
blended,coffee,2
1,pax,2
get,japadog,2
salad,at,2
u.p.,$52/day,2
free,$15,2
cleanser,/,2
online,store,2
up,$25.60,2
sundaes,for,2
action,lip,2
waffle,cone,2
-,enjoy,2
anti-ache,therapy,2
shoe,outlet,2
homeaway,-,2
or,house,2
hour,jump,2
i,love,2
chicken,drumstick,2
your,perx,2
free,3pcs,2
airbnb,voucher,2
katsu,sandwich,2
hot,pot,2
m,ice,2
aid,360,2
don/curry,or,2
detox,juice,2
brew,of,2
amex,chop,2
coffee,jelly,2
1,pizza/pasta,2
free,4pcs.,2
pasta,of,2
football,club,2
+,instant,2
free,half,2
+,anti-ache,2
wrap,purchase,2
$40,and,2
complimentary,glass,2
and,big,2
swarovski,crystals,2
at,$2,2
ticm,-,2
off,sitewide,2
b&o,play,2
free,sasa,2
kitchen,by,2
tier,2/4,2
full,pint,2
at,popeyes,2
burger,purchase,2
$1,voucher,2
swedish,body,2
bowl,of,2
ben,&,2
regular,items,2
in-store,purchase,2
$10,discount,2
classic,gel,2
burger,+,2
off,rws,2
club,meatballs,2
1-for-1,laser,2
original,chococro,2
any,tea/coffee,2
@,milenia,2
3pcs,botanicals,2
month,season,2
spa,treatment,2
treat,size,2
enjoy,up,2
richmond,station,2
chocolate,drink,2
1,italian,2
@,$50​,2
-,s$30,2
1-for-1,frappe,2
chicken,w/,2
renewal,serum,2
-,purchase,2
up,gift,2
hello,kitty,2
juice,-,2
half,pint,2
skiddoo,-,2
applicable,with,2
"inch""",pizza,2
lab,-,2
off,when,2
the,latin,2
keychain,with,2
or,appletiser/grapetiser,2
free,waffles,2
cajun,fries,2
free,carrot,2
u.p,$25,2
hairgro,treatment,2
at,$5,2
cnp,-,2
waffle,purchase,2
aqua,bomb,2
off,chocolatier,2
beauty,package,2
lazada,customers,2
sunnyhill,pineapple,2
pork/chicken,katsu,2
vanity,case,2
pack,&,2
colour,or,2
u.p.,$10,2
complimentary,1,2
free,prawn,2
lymphatic,drainage,2
-,anatomical,2
-,k,2
scratch,card,2
solo/partner,dance,2
waffle,purchased,2
reg,size,2
